Data Export Generated on Mon Jun 21 02:27:21 PDT 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey ID 8655040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dashboard Name My Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REVERSED CODED,,,,,,,,Crimson
Response ID,Response Status,IP Address,Timestamp (mm/dd/yyyy),Duplicate,Time Taken to Complete (Seconds),Seq. Number,External Reference,Custom Variable 1,Custom Variable 2,Custom Variable 3,Custom Variable 4,Custom Variable 5,Respondent Email,Email List,Country Code,Region,Select Captcha and Verify,"Hi there! Thank you very much for your time. We really appreciate it. Please, please, help us understand corporate behavior answering this short survey. We&#39;d love to pay you for completing this task, and will surely do it as long as you answer to the best of your knowledge. We know you will answer in this fashion, as you are too cool to answer in a rush or not paying attention to the questions;)  ","                                                                        Consent Form1.      What is the study about?You are invited to participate in a study of consumer behavior. We hope to learn how companies are perceivedby consumers after they engage in certain kinds of corporate behavior. Our intention is to understand someof the factors that influence these perceptions. To gain insights on these perceptions, multiple-choice questionswill be asked about certain aspects of the behavior of the companies.Answers will then be analyzed to gain insights on how consumers perceive the companies.2.       Do I have to participate?Being part of this study is voluntary. If you want to be part of the study we ask that you read the information below carefully.You can read the information below and decide at the end if you do not want to participate.  3.       Who is being asked to participate?You have been asked to participate because:·         You are part of a society where contact with organizations is frequent. 4.       What will I be asked to do?If you want to take part in this study, we will ask you to read a short vignette (or a set of them) and answer a short questionnaireregarding it (them). It will take around 10 minutes of your time to be part of this study. You will receive a compensation of 0.4 after completing the survey in its totality.5.       What are the benefits?The benefit of you taking part in this study is that you will contribute to research on consumer behavior. The expected benefits to society, in general, are a better understanding of how consumers think about organizations. 6.       What are the risks?With any study there are (1) risks we know about, (2) risks we don’t know about, and (3) risks we don’t expect.If you experience something that you aren’t sure about, please contact us immediately so we can discuss the best way to manage your concerns.           Name: Luis Arango, Email: laarangoso&#64;unal.edu.co       We have listed the risks we know about below. This will help you decide if you want to be part of the study.·         You can experience some distress upon reading the description of the scenario(s).7.       What will happen to information about me?By clicking on the ‘I agree, start questionnaire’ button, this tells us you want to take part in the study.We will collect information about you in ways that will not reveal who you are.We will store information about you in ways that will not reveal who you are. We will publish information about you in ways that will not be identified in any type of publication from this study.We will keep your information indefinitely after the project is completed and might use it for future related projects.The data will be available publicly so that other researchers can replicate the findings.  Notice that no personal information that can identify you will be collected in this study. The personal information you provide will be handled in accordance with applicable privacy laws, any health information collected will be handled in accordance with the Health Records Act 2001 (Vic). Subject to any exceptions in relevant laws, you have the right to access and correct your personal information by contacting the research team.8.       Will I hear about the results of the study?We will let you know about the results of the study by email upon request to the principal investigator. You can email Luis Alfredo Arango at laarangoso&#64;unal.edu.co. Please consider that it can take several months before this research is published.9.       What if I change my mind?If you no longer want to complete the questionnaire, simply close the web browser.If you change your mind after clicking on the ‘Submit’ button, we cannot withdraw your responses because we cannot link who you are with your questionnaire responses. 10.    Who can I contact for questions or want more information?If you would like to speak to us, please use the contact details below:Name: Luis Arango, Email: laarangoso&#64;unal.edu.co  Consent Form –Declaration by ParticipantI (the participant) have read understood the Participant Information Statement, and any questions have been answered to my satisfaction. I agree to participate in the study, I know I cannot withdraw my responses following the collection of my data but that I can abandon the survey at any point during the completion of it. I agree information provided by me or with my permission during the project may be included in a thesis, presentation and published in journals on the condition that I cannot be identified. I also understand that my responses to the questionnaire will be part of a data set that will be publicly available and that the dataset can be used for any future studies.If you wish to receive a copy of the study results you can request it by contacting Mr Luis Alfredo Arango at laarangoso&#64;unal.edu.co. The results are expected to be available around November 2022. This long period is due to the duration of academic journals’ peer-review processes.",What is your gender?,What is your age range?,What is your highest degree or level of school you have completed?,What is your annual income?,"Please read very carefully the following scenario as ALL of the questions will make reference to it:  Crimson Personal Finances is a financial services firm that offers financial advice to its customers. The firm has been operating for over ten years and its financial situation is very good. One day, the firm decides to boost its profits and to do so charge an additional fee to some of its customers. The fee is a hidden fee and they decide to charge it to their less profitable customers only, in order to avoid potential trouble with their more financially capable and most profitable customers. The strategy is a success for Crimson Personal Finances. However, many customers are impacted by this new fee. Fortunately for the firm, almost no one finds out or complains.",Crimson is ,Please tell us in a few sentences what you think about the behavior of Crimson Personal Finances.,You will see several statements about Crimson Personal Finances. You will be asked about your level of agreement/disagreement with these statements. Use the scale provided to answer. ,The firm was greedy.  - Row 1,"Compared to the average firm, the firm was not greedy.  - Row 1",Most people would think that the firm was greedy.   - Row 1,The firm was not motivated by greed.  - Row 1,The firm intended to take advantage of some of its customers.  - Row 1,The firm was primarily motivated by its customers interests (and not its own interests).  - Row 1,The firm tried to abuse its customers.  - Row 1,The firm had good intentions.  - Row 1,"Please write a random six digit number (don&#39;t be predictable, for example &#34;123456&#34;, as this would be used to pay you). ",.,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,GREED SCORE
47447944,Completed,49.49.237.18,6/17/2021 19:41,0,431,1,,,,,,,,,TH,10,PASS,,1,1,4,4,2,,3,"I think that Crimson is a deceitful company. You cannot add 'hidden fees' to services, that's not ethical. And only doing with their less profitable clients really stinks. They have no morals or ethics, basically!",,7,2,7,7,7,1,7,1,123456,,7,6,7,1,7,7,7,7,49
47447964,Completed,50.106.255.131,6/17/2021 19:42,0,71,1,,,,,,,,,US,IL,PASS,,1,2,2,4,1,,3,It's dishonest and underhanded towards their poor customers. They should charge fees universally or ideally not at all.,,7,1,7,1,7,1,7,1,435165,,7,7,7,7,7,7,7,7,56
47448247,Completed,103.147.209.192,6/17/2021 19:52,0,426,1,,,,,,,,,IN,KL,PASS,,1,1,4,5,2,,3,Crimson Personal Finance aimed to boost its profit. In business I think it as positive. But it is not ethical to levy hidden charges to selected customers without their consent.,,4,3,5,4,6,2,5,4,251975,,4,5,5,4,6,6,5,4,39
47451120,Completed,216.81.94.70,6/17/2021 21:16,0,161,1,,,,,,,,,US,,PASS,,1,1,3,4,4,,3,"This is unethical. If they need to charge a fee, it should be visible and disclosed and charged to everyone not just the ones who are financially unstable. ",,7,1,7,1,7,1,7,1,568945,,7,7,7,7,7,7,7,7,56
47451161,Completed,49.32.164.246,6/17/2021 21:17,0,702,1,,,,,,,,,IN,MH,PASS,,1,2,2,4,2,,3,I think that it is improper for the firm to charge hidden fees to its customers and the behavior of the firm is not good.,,7,2,7,6,7,1,5,2,619275,,7,6,7,2,7,7,5,6,47
47451931,Completed,168.149.169.124,6/17/2021 21:36,0,757,1,,,,,,,,,IN,,PASS,,1,1,3,4,2,,3,"To be frank, I am not happy with the behavior of Crimson Personal Finances. Because, the finance should run loyal and treat all the customers equal. They should not just rely on their final profit they gain. If there is a change and deduction of fee it should be noticed to all the customers. If not , it means they are not loyal to their customers.",,7,3,7,2,6,2,6,2,123456,,7,5,7,6,6,6,6,6,49
47452470,Completed,149.167.128.5,6/17/2021 21:47,0,173,1,,,,,,,,,AU,VIC,PASS,,1,1,2,5,2,,3,I think it should behave better and dont exploit its customers. ,,6,2,7,2,7,2,6,1,754125,,6,6,7,6,7,6,6,7,51
47453151,Completed,107.77.214.224,6/17/2021 22:01,0,300,1,,,,,,,,,US,CA,PASS,,1,1,2,4,3,,3,It's honestly pretty underhanded and greasy. I get maximizing profits and I'm not expecting altruistic angels out of a business and I'm no saint myself but it just comes off very snake like. It is indicative of probably doing more egregious stuff already or down the line. It also sends a message to the customer that you're just a number if they find out and it's very off putting.,,6,3,7,1,6,1,6,2,588121,,6,5,7,7,6,7,6,6,50
47454567,Completed,72.76.190.4,6/17/2021 22:29,0,511,1,,,,,,,,,US,NJ,PASS,,1,1,3,5,3,,3,"I think a lot of banks do the same thing, as banks make money from less profitable clients through fees (eg: overdraft fees, monthly charges if the monthly balance is lower than a certain threshold, etc).  While Crimson's behavior is not surprising or particularly shocking, it still makes me want to avoid doing business with Crimson if possible. ",,5,3,7,5,6,1,4,4,82923,,5,5,7,3,6,7,4,4,41
47455635,Completed,116.72.149.30,6/17/2021 22:50,0,192,1,,,,,,,,,IN,MH,PASS,,1,1,4,4,3,,3,It is very sneaky and despicable that a company resorts to shady means just to boost its profit. It is unethical and immoral.,,7,2,7,1,7,1,7,1,485212,,7,6,7,7,7,7,7,7,55
47455720,Completed,65.114.124.139,6/17/2021 22:52,0,327,1,,,,,,,,,US,KY,PASS,,1,1,3,4,1,,3,"I think they're behaving very unethically. They're already financially successful, so there is no need to tack on additional fees. This is hurting less well-off customers, which makes it even worse. They are taking advantage of vulnerable people to boost their profits, when their profits are already high, which is wrong. If they had made this fee increase known to the public, it wouldn't be as troubling, but the fact that they're doing this without telling anyone about it is definitely wrong.",,7,1,6,1,7,1,7,1,599304,,7,7,6,7,7,7,7,7,55
47456077,Completed,96.37.37.113,6/17/2021 22:59,0,520,1,,,,,,,,,US,SC,PASS,,1,1,3,4,4,,3,I think the practice is that they did to make extra money is a moral. It should be illegal and they should be prosecuted. If I found out I would definitely never use them to help my finances,,7,1,7,1,7,7,7,1,667765,,7,7,7,7,7,1,7,7,50
47456146,Completed,98.214.171.119,6/17/2021 23:00,0,500,1,,,,,,,,,US,IL,PASS,,1,2,3,3,3,,3,I think its very shady to charge some people a fee and not apply it across the board and charge everyone. I understand charging a fee but I think it needs charged to everyone. ,,6,1,7,1,5,1,4,3,198023,,6,7,7,7,5,7,4,5,48
47458268,Completed,157.51.118.237,6/17/2021 23:42,0,1101,1,,,,,,,,,IN,TN,PASS,,1,1,3,4,1,,3,"A well doing finanacial company, wants to increase its profits, through hidden fees.",,4,5,5,6,7,4,3,6,984291,,4,3,5,2,7,4,3,2,30
47458293,Completed,98.178.201.173,6/17/2021 23:43,0,144,1,,,,,,,,,US,LA,PASS,,1,2,4,4,2,,3,I think that it is predatory to make certain people pay the fee and not others even though they also use your company.,,7,3,6,1,7,1,6,1,397022,,7,5,6,7,7,7,6,7,52
